"FIPS","county","state","zip","weighted.cost.index","total.discharges","city","latitude","longitude","timezone","dst","cost.index","hasteach","Government","NonProfit","Proprietary","Church","YPLL.Rate","X..Fair.Poor","Physically.Unhealthy.Days","Mentally.Unhealthy.Days","X..LBW","X..Smokers","X..Obese","X..Physically.Inactive","X..Excessive.Drinking","MV.Mortality.Rate","Chlamydia.Rate","Teen.Birth.Rate","X..Uninsured","pcp_ratio","dentist_ratio","Medicare.Enroll.ACSC.Rate","X..Diabetes.Test","X..Mammography","X..AFGR.HS.Grad","X..Some.College","X..Unemployed","X..Children.in.Poverty","X..No.Social.Emotional.Support","X..Single.Parent.Households","Violent.Crime.Rate","Average.daily.PM25","X..pop.in.viol","Rec.Facility.Rate","per_LimitedAccessHlthFood","X..Fast.Foods","HIV.Rate"
1001,"AUTAUGA","AL","36067",0.839550563918253,546,"Prattville",32.488113,-86.52962,-6,1,0.825719928313803,FALSE,0,0,1,0,8376,23,5.1,4.3,9.4,24,34,32,17,24,363,43,14,0.0003661662,0.0002541296,71,85,68.5,80,54.4,8,21,24,26,300,13.3,0,7.3,10,52,185
1003,"BALDWIN","AL","36507",0.5083995361879,188,"Bay Minette",30.875697,-87.76592,-6,1,0.504461587756405,FALSE,0,0,1,0,7770,13,3.3,3.8,8.8,23,26,25,19,20,306,48,19,0.0007423905,0.0004203447,56,81,69.9,74,62.1,8.1,21,19,28,215,11.8,8,8.7,5,35,179
1003,"BALDWIN","AL","36532",0.674889428623802,2051,"Fairhope",30.512458,-87.88559,-6,1,0.656946530775039,FALSE,0,0,1,0,7770,13,3.3,3.8,8.8,23,26,25,19,20,306,48,19,0.0007423905,0.0004203447,56,81,69.9,74,62.1,8.1,21,19,28,215,11.8,8,8.7,5,35,179
1003,"BALDWIN","AL","36535",1.40638635860318,1496,"Foley",30.396876,-87.69616,-6,1,1.35379596960426,FALSE,0,0,1,0,7770,13,3.3,3.8,8.8,23,26,25,19,20,306,48,19,0.0007423905,0.0004203447,56,81,69.9,74,62.1,8.1,21,19,28,215,11.8,8,8.7,5,35,179
1005,"BARBOUR","AL","36027",0.516406885598974,478,"Eufaula",31.876168,-85.17362,-6,1,0.521704306917831,FALSE,0,0,1,0,9458,22,5,4.1,12.3,24,37,34,13,26,645,74,19,0.0004382121,0.0002942908,109,86,64.8,61,42.1,11.4,40,18,57,150,12.1,8,3.7,11,56,345
1007,"BIBB","AL","35042",0.402979759485774,28,"Centreville",32.963486,-87.13867,-6,1,0.402979759485774,FALSE,0,0.333333333333333,0.666666666666667,0,11544,21,5,5.3,11.9,33,34,37,13,34,327,48,18,0.0002622607,0.0001992032,87,85,57.2,73,42.4,9.9,31,29,38,246,13.7,0,4.4,2,45,100
1009,"BLOUNT","AL","35121",0.649517794461781,279,"Oneonta",33.944897,-86.45813,-6,1,0.6469546751743,FALSE,0,0,1,0,8506,22,5.2,4,7.6,22,32,36,5,28,113,49,19,0.0002091175,0.0001900779,95,84,66,81,43.3,8.3,22,14,26,102,13,7,5.2,1,56,81
1011,"BULLOCK","AL","36089",0.61769879763552,68,"Union Springs",32.145437,-85.70998,-6,1,0.591346080167644,FALSE,0,1,0,0,9884,25,5,NA,14.1,NA,39,31,NA,59,770,86,16,0.0005509642,0.0001589572,117,76,57,71,39,15.3,41,NA,67,386,12.5,0,0,20,50,358
1013,"BUTLER","AL","36037",1.35012959159996,337,"Greenville",31.8007,-86.60591,-6,1,1.31512533994256,FALSE,0,0,1,0,11006,20,3.8,3.2,10.4,29,41,37,10,29,645,62,17,0.0003343363,0.0002820874,143,83,59.9,72,47.3,11.6,36,28,51,370,12.4,0,0,3,47,207
1013,"BUTLER","AL","36033",0.253880899781475,250,"Georgiana",31.655458,-86.76737,-6,1,0.252858047120156,FALSE,0,0,0,0,11006,20,3.8,3.2,10.4,29,41,37,10,29,645,62,17,0.0003343363,0.0002820874,143,83,59.9,72,47.3,11.6,36,28,51,370,12.4,0,0,3,47,207
1015,"CALHOUN","AL","36265",0.826715879814825,346,"Jacksonville",33.824496,-85.77037,-6,1,0.911652606903833,FALSE,0,0,1,0,11097,24,5.1,5,9.2,26,34,34,13,23,566,51,16,0.000625,0.000436872,99,80,60,79,49.2,9.2,32,22,40,725,13.1,0,7.6,10,55,176
1015,"CALHOUN","AL","36201",1.07791465427704,1526,"Anniston",33.658803,-85.85178,-6,1,1.07525516124283,FALSE,0,0,0.5,0,11097,24,5.1,5,9.2,26,34,34,13,23,566,51,16,0.000625,0.000436872,99,80,60,79,49.2,9.2,32,22,40,725,13.1,0,7.6,10,55,176
1015,"CALHOUN","AL","36207",0.815348192126067,3652,"Anniston",33.651673,-85.75895,-6,1,0.800156044061482,FALSE,0,0,1,0,11097,24,5.1,5,9.2,26,34,34,13,23,566,51,16,0.000625,0.000436872,99,80,60,79,49.2,9.2,32,22,40,725,13.1,0,7.6,10,55,176
1017,"CHAMBERS","AL","36854",0.387028430613006,772,"Valley",32.777662,-85.17623,-6,1,0.384438786685789,FALSE,0,0,1,0,10368,40,4.8,4,11.4,24,35,36,8,27,664,64,19,0.0004101723,0.0002601457,89,86,64.5,79,46.5,11.4,39,33,50,583,13.2,0,5.9,9,54,282
1019,"CHEROKEE","AL","35960",0.736613225963901,237,"Centre",34.141067,-85.60472,-6,1,0.741848919170693,FALSE,0,0,0,0,9409,23,5.1,4.3,9.3,25,31,36,14,26,258,52,19,0.000307787,0.0001141292,116,89,64.1,72,45.9,8.7,37,23,28,241,12.9,0,0,0,67,100
1021,"CHILTON","AL","35045",0.369477829296433,132,"Clanton",32.834501,-86.64355,-6,1,0.372669667187242,FALSE,0,1,0,0,10330,21,4.8,4.8,9.8,21,35,31,11,36,197,57,20,0.0001829826,0.000226706,68,84,62.1,73,43.7,8.6,28,23,30,876,13.6,0,6.9,2,56,81
1025,"CLARKE","AL","36451",0.365226402102069,185,"Grove Hill",31.704736,-87.77773,-6,1,0.365942139977119,FALSE,0,0,1,0,9309,NA,3.5,2.4,12.2,20,35,38,13,31,763,42,17,0.0005431831,0.0002686728,108,79,62.2,77,51.1,15.2,35,28,50,491,12.7,12,11.6,11,63,107
1025,"CLARKE","AL","36545",0.245812325596957,132,"Jackson",31.508231,-87.88346,-6,1,0.24597076633447,FALSE,1,0,0,0,9309,NA,3.5,2.4,12.2,20,35,38,13,31,763,42,17,0.0005431831,0.0002686728,108,79,62.2,77,51.1,15.2,35,28,50,491,12.7,12,11.6,11,63,107
1027,"CLAY","AL","36251",0.405553232693062,284,"Ashland",33.243964,-85.84503,-6,1,0.399069013398895,FALSE,0,1,0,0,9915,24,5,4.6,10.9,21,34,38,6,20,395,51,19,0.0003588088,0.0001409443,144,81,58.2,80,41.4,11.8,29,27,30,225,13.2,0,0,2,40,130
